AGRF_ID,Mouse_ID,Strain,Age ,Gender,Tissue,Timepoint,Group,Treatment,RIN,RNA conc,RNA conc diluted,OD260:280,OD260:230
AB01,006,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,2179.9,200ng/ul,2.04,2.03
AB02,011,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,1452.7,200ng/ul,2.05,2.21
AB03,205,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,984.8,200ng/ul,2.05,2.2
AB04,202,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,2937.1,200ng/ul,2.03,2.25
AB05,406,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,2003.3,200ng/ul,2.02,2.11
AB06,401,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,2679,200ng/ul,2.01,2.29
AB07,607,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,3006,200ng/ul,2.01,2.18
AB08,603,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,12275.2,200ng/ul,1.99,2.21
AB09,010,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,9493.4,200ng/ul,2.01,2.22
AB10,013,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,2685.3,200ng/ul,2.04,2.21
AB11,228,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,251.4,200ng/ul,1.98,1.93
AB12,221,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,2020.8,200ng/ul,2.05,2.16
AB13,407,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,1727.9,200ng/ul,2.04,2.26
AB14,414,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,2755.7,200ng/ul,2.02,2.24
AB15,608,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,439.9,200ng/ul,2.04,2.03
AB16,604,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,9219.3,200ng/ul,2.02,2.26
AB17,017,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,3110.4,200ng/ul,2,2.02
AB18,016,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,113.5,100ng/ul,1.9,1.08
AB19,231,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,799.5,200ng/ul,1.99,1.98
AB20,223,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,971.2,200ng/ul,2.02,2.2
AB21,410,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,3202,200ng/ul,2.02,2.19
AB22,415,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,1447.7,200ng/ul,2.03,2.2
AB23,610,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,420.2,200ng/ul,2.08,1.73
AB24,621,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,2835.4,200ng/ul,2.03,2.14
AB25,021,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,3435.5,200ng/ul,1.99,2.19
AB26,018,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,3437.7,200ng/ul,2,2.18
